from,to,distance,accessible
stair_gf_1,room_gf_122,68.52,true
stair_gf_1,entrance_3,68.17,true
stair_gf_1,entrance_4,80.54,true
stair_gf_1,corridor_gf_1,55.76,true
stair_gf_1,corridor_gf_2,16.28,true
stair_gf_1,corridor_gf_3,69.75,true
stair_gf_1,corridor_gf_100,112.94,true
stair_gf_1,corridor_gf_24,90.37,true
stair_gf_1,corridor_gf_25,110.27,true
stair_gf_1,corridor_gf_27,84.31,true
stair_gf_1,corridor_gf_28,79.76,true
stair_gf_1,corridor_gf_34,84.52,true
stair_gf_1,room_gf_126,112.74,true
stair_gf_1,corridor_gf_35,75.08,true
stair_gf_1,corridor_gf_36,82.49,true
stair_gf_1,corridor_gf_37,59.03,true
stair_gf_1,corridor_gf_38,38.56,true
stair_gf_1,corridor_gf_39,22.18,true
stair_gf_1,corridor_gf_40,29.04,true
stair_gf_1,corridor_gf_43,99.31,true
stair_gf_1,corridor_gf_44,91.63,true
stair_gf_1,corridor_gf_45,87.37,true
stair_gf_1,corridor_gf_46,99.7,true
stair_gf_1,corridor_gf_47,113.74,true
stair_gf_1,room_gf_150,13.4,true
stair_gf_4,stair_gf_3,58.99,true
stair_gf_4,stair_gf_2,112.51,true
stair_gf_4,stair_gf_5,109.17,true
stair_gf_4,lift_gf,102.94,true
stair_gf_4,stair_gf_6,65.35,true
stair_gf_4,stair_gf_8,97.96,true
stair_gf_4,room_gf_22,115.01,true
stair_gf_4,room_gf_25,118.42,true
stair_gf_4,room_gf_32,109.1,true
stair_gf_4,room_gf_33,109.1,true
stair_gf_4,room_gf_34,72.37,true
stair_gf_4,room_gf_35,97.93,true
stair_gf_4,room_gf_36,113.87,true
stair_gf_4,room_gf_38,90.92,true
stair_gf_4,room_gf_39,110.03,true
stair_gf_4,room_gf_61,109.06,true
stair_gf_4,room_gf_63,103.12,true
stair_gf_4,room_gf_66,119.27,true
stair_gf_4,room_gf_67,115.79,true
stair_gf_4,room_gf_69,94.12,true
stair_gf_4,room_gf_70,101.97,true
stair_gf_4,room_gf_71,99.37,true
stair_gf_4,room_gf_72,102.7,true
stair_gf_4,room_gf_74,111.75,true
stair_gf_4,room_gf_84,107.52,true
stair_gf_4,room_gf_85,85.32,true
stair_gf_4,room_gf_87,16.37,true
stair_gf_4,room_gf_91,107.82,true
stair_gf_4,room_gf_92,74.4,true
stair_gf_4,room_gf_93,82.73,true
stair_gf_4,room_gf_94,54.84,true
stair_gf_4,room_gf_95,63.18,true
stair_gf_4,room_gf_96,48.64,true
stair_gf_4,room_gf_97,35.45,true
stair_gf_4,room_gf_98,76.53,true
stair_gf_4,room_gf_99,53.75,true
stair_gf_4,room_gf_110,50.79,true
stair_gf_4,room_gf_155,32.61,true
stair_gf_4,room_gf_112,30.52,true
stair_gf_4,room_gf_113,66.28,true
stair_gf_4,room_gf_114,75.05,true
stair_gf_4,entrance_3,116.13,true
stair_gf_4,entrance_17,92.41,true
stair_gf_4,corridor_gf_160,26.07,true
stair_gf_4,corridor_gf_9,101.17,true
stair_gf_4,corridor_gf_150,111.94,true
stair_gf_4,corridor_gf_16,113.86,true
stair_gf_4,corridor_gf_25,72.1,true
stair_gf_4,corridor_gf_26,36.38,true
stair_gf_4,corridor_gf_27,93.09,true
stair_gf_4,room_gf_126,97.03,true
stair_gf_4,corridor_gf_36,109.84,true
stair_gf_4,corridor_gf_41,67.19,true
stair_gf_4,corridor_gf_43,92.72,true
stair_gf_4,corridor_gf_44,110.78,true
stair_gf_4,corridor_gf_48,39.87,true
stair_gf_4,corridor_gf_50,58.74,true
stair_gf_4,corridor_gf_51,77.67,true
stair_gf_4,corridor_gf_52,116.02,true
